"Reference ID","Product Name","Sale  Price","POS Category"
"00024000015390","DM CHERRY MX 8¼z",1.39,"Groceries"
"00024000021407","DM FRT CCKTL 8½z",1.39,"Groceries"
"00024000021421","DM S PEACHES 8½z",1.39,"Groceries"
"00024000021575","DM APRICOT H 8½z",1.79,"Groceries"
"00024000021834","DM MANDRN OR 8¼z",1.39,"Groceries"
"00024000027973","DM SLI PEARS 8½z",1.39,"Groceries"
"00024000030560","DM D PEACH 4/4½z",3.59,"Groceries"
"00024000034094","DM CAL PEAH 4/4z",3.59,"Groceries"
"00024000034100","DM MIXD FRT 4/4z",3.59,"Groceries"
"00024000034117","DM CAL PEAH 4/4z",3.59,"Groceries"
"00024000034124","DM CHERRY M 4/4z",3.59,"Groceries"
"00024000034216","DM MANDARN O 15z",2.49,"Groceries"
"00024000034728","DM PETIT CUT 14½",1.99,"Groceries"
"00024000035589","DM PINAPPLE 4/4z",3.59,"Groceries"
"00024000035596","DM TRPC FRT 4/4z",3.59,"Groceries"
"00024000051978","DM D PEACH 4/4½z",3.59,"Groceries"
"00024000051985","DM MANDRIN 4/4½z",3.59,"Groceries"
"00024000051992","DM MXD FRT 4/4½z",3.59,"Groceries"
"00024000115526","DM MX FRUIT 4/4z",3.39,"Groceries"
"00024000163084","DM SWEET PEAS 15",1.99,"Groceries"
"00024000163190","DM MIXED VEG 14½",1.49,"Groceries"
"00024000167044","DM FRUIT CL 15¼z",2.49,"Groceries"
"00024000167143","DM PEACH HV 15¼z",2.49,"Groceries"
"00024000322009","CI CHCKN BRT 14½",1.39,"Groceries"
"00024000322016","CI BF FAT F 14½",1.39,"Groceries"
"00024000323204","CI BEEF BRTH 14½",1.39,"Groceries"
"00024000325000","CI GARDN VEG 14½",1.39,"Groceries"
"00024000356011","CONTADIN DICD 1b",2.79,"Groceries"
"00024000525714","DM MANGO PN 4/4z",3.29,"Groceries"
"00024600010016","MORTON SALT 1lb",1.29,"Groceries"
"00025183100729","SARDINES OIL 15z",2.49,"Groceries"
"00025293600904","SILK SOYMILK 1Qt",2.79,"Groceries"
"00025500000800","FOLGERS CLSC 12z",8.99,"Groceries"
"00025500003658","FLGR CLASIC 11.3",5.19,"Groceries"
"00025500003719","FLGR C DCAF 11.3",6.49,"Groceries"
"00025500003849","FLGR 100%CO 10.3",5.19,"Groceries"
"00025500003979","FLGR FRENCH 10.3",5.19,"Groceries"
"00027000378823","HUNTS DICED 28z",2.59,"Groceries"
"00027000379097","HUNTS CRUSHED 1b",2.59,"Groceries"
"00027000380109","HTS W PEELED 14½",1.99,"Groceries"
"00027000380116","HNTS W PEELED 1b",2.79,"Groceries"
"00027000381106","HUNTS DICED 14½z",1.99,"Groceries"
"00027000382493","HNTS KETCHUP 24z",2.09,"Groceries"
"00027000388150","HUNTS PASTE 6z",0.99,"Groceries"
"00027000388273","HUNTS PASTE 18z",2.69,"Groceries"
"00027000389690","HUNTS PUREE 1b",2.59,"Groceries"
"00027000389843","HUNTS PASTE 1b",3.29,"Groceries"
"00027000390054","HUNTS SAUCE 8z",0.89,"Groceries"
"00027000390146","HUNTS SAUCE 15z",1.99,"Groceries"
"00027000390238","HUNTS SAUCE 1b",2.59,"Groceries"
"00027000419007","SNK PK CHC 4/3¼z",1.69,"Groceries"
"00027000419229","SNK PK STB 4/3¼z",1.89,"Groceries"
"00027000485392","OR BUTTER 9.9oz",2.49,"Groceries"
"00027000490303","OR BUTTER 8.7oz",2.49,"Groceries"
"00027000612262","WESSON VGTBL 24z",3.79,"Groceries"
"00027000650868","WESSON OIL 48oz",6.89,"Groceries"
"00028000008246","JJ APPLE 64z",4.99,"Groceries"
"00028000033170","NSTL NIDO 12.6oz",4.99,"Groceries"
"00028000077372","MG CLDO CSTL 7.9",2.69,"Groceries"
"00028000123871","MG CLDO PLL 10.2",1.99,"Groceries"
"00028000149727","NSTL NESTM 14.1z",8.49,"Groceries"
"00028000157852","NSTL ABUELIT 19z",5.99,"Groceries"
"00028000159764","JJ BERRY 8/6¾oz",4.19,"Groceries"
"00028000213190","MG CLDO PLL 3.5z",1.39,"Groceries"
"00028000244606","NSTL NESQUIK 22z",2.79,"Groceries"
"00028000245009","NSTL NESQUIK 22z",2.79,"Groceries"
"00028000247959","MG CLDO PLL 2.43",0.89,"Groceries"
"00028000258955","JJ ORNGE T 8/6¾z",4.19,"Groceries"
"00028000275259","JJ APPLE 48oz",3.99,"Groceries"
"00028000299781","NSTL ABUELT 11.2",6.19,"Groceries"
"00028000333171","NSTL NIDO 12.6oz",7.99,"Groceries"
"00028000466312","NESCAF CLASIC 7z",9.99,"Groceries"
"00028000467012","NSCF CLASIC 1.7z",2.89,"Groceries"
"00028000469429","NSCF CLASIC 3.5z",4.99,"Groceries"
"00028000500313","MG CLDO RES 2.32",0.89,"Groceries"
"00028000500764","MG CLDO PLL 2.4z",0.89,"Groceries"
"00028000510411","MG PLL FDS 2.11z",0.79,"Groceries"
"00028000513108","MG PLL CRC 2.11z",0.79,"Groceries"
"00028000515911","MG CREMA P 2.26z",0.79,"Groceries"
"00028000516017","MG P ARROZ 2.11z",0.79,"Groceries"
"00028000516116","MG RES FDO 2.11z",0.79,"Groceries"
"00028000517205","NSTL /CREMA 7.6Z",2.49,"Groceries"
"00028000517311","MG CREMA M 2.82z",1.29,"Groceries"
"00028000517809","NSTL CONDNSD 14z",2.99,"Groceries"
"00028000518110","NSTL LECHER 3.5z",6.49,"Groceries"
"00028000518868","DULC/LECHE 13.4z",3.99,"Groceries"
"00028000521455","JJ FRUIT P 8/6¾z",4.19,"Groceries"
"00028000541361","JJ KIWI ST 8/6¾z",4.19,"Groceries"
"00028000542313","NESCAF CLASIC 7z",8.99,"Groceries"
"00028000544652","NSCF CLASCO 3.5z",4.99,"Groceries"
"00028000567149","JJ TROPICAL 64z",4.99,"Groceries"
"00028000675363","NSCAF OLLA 3.52z",4.99,"Groceries"
"00028000679903","NSTL NESQK 10.9z",3.79,"Groceries"
"00028000680404","NSTL NESQK 10.9z",3.79,"Groceries"
"00028000680909","NSTL NESQK 21.8z",5.99,"Groceries"
"00028000681401","NSTL NSQIK 21.8z",5.99,"Groceries"
"00028000683207","NTL CNDNSAD 15.8",4.99,"Groceries"
"00028000736095","MG SOPAS C 3.24z",1.29,"Groceries"
"00028000803193","MG CLDO PLL 7.9z",2.69,"Groceries"
"00028000852368","JJ APPLE 8/6¾oz",4.19,"Groceries"
"00028000874575","JJ GRAPE 8/6¾oz",4.19,"Groceries"
"00028571000540","R SARDINS ST 15z",2.69,"Groceries"
"00028571000694","SIREN PCA P 5.5z",1.09,"Groceries"
"00028571010334","LA SIRENA J 15z",1.99,"Groceries"
"00029000072121","PN PEANUTS 12oz",3.99,"Groceries"
"00029000072299","PN UNSALTED 12oz",4.09,"Groceries"
"00029700001148","IDAHOAN M 13¾oz",2.49,"Groceries"
"00030000010204","QO OLD FSHND 18z",3.29,"Groceries"
"00030000012000","QUAKER OATS 2lb",5.99,"Groceries"
"00030000050200","AJ ORIGINAL 1lb",2.49,"Groceries"
"00030000050408","AJ ORIGINAL 32oz",3.49,"Groceries"
"00030000050705","AJ COMPLETE 2lb ",3.49,"Groceries"
"00030000052907","AJ COMPLETE 1lb",2.49,"Groceries"
"00030000059500","AJ ORIGINAL 12oz",3.49,"Groceries"
"00030000059708","AJ ORIGINAL 24oz",4.99,"Groceries"
"00030000316849","QUAKR FLVR/V 15z",4.99,"Groceries"
"00030267700009","DC PEACH HLV 29z",2.99,"Groceries"
"00030267700016","DC FRUIT CTL 29Z",2.99,"Groceries"
"00031200200075","OS CRANBERRY 64z",4.49,"Groceries"
"00031200203007","OS CRANBERRY 3L",6.99,"Groceries"
"00031200261076","OS CRAN·RASP 64z",4.89,"Groceries"
