"Interal Reference","Description","Retail","POS Category"
"04133102490","NAVY BEANS 1 LB",1.39,"Grocery"
"04133102491","YELLOW SPLIT PEAS 1 LB",.89,"Grocery"
"04133102492","YELLOW POPCORN 1 LB",1.29,"Grocery"
"04133102493","WHOLE YELLOW PEAS 1 LB",.99,"Grocery"
"04133102494","BARLEY 1 LB",.99,"Grocery"
"04133102495","CANARY BEAN FRIJOL CANARIO 1LB",2.49,"Grocery"
"04133102496","RED LENTILS 1 LB",1.29,"Grocery"
"04133102497","MAIZ TRILLADO/WHITE HOMNY 1 LB",1.19,"Grocery"
"04133102498","MAIZ TRILLADO/GOLD HOMINY 1 LB",1.19,"Grocery"
"04133102499","GIANT WHITE CORN/MAIZ 14 OZ",2.29,"Grocery"
"04133102500","CHULPE CORN   1 LB",2.89,"Grocery"
"04133102501","PARDINA LENTILS  1 LB",1.49,"Grocery"
"04133102502","BEAN SOUP MIX 1 LB",1.79,"Grocery"
"04133102503","FRIJOL DE SEDA 1 LB",2.39,"Grocery"
"04133102504","GOYA PEELED FAVA 1 LB.",2.59,"Grocery"
"04133102506","GOYA RED CARGAMANTO BEANS 1 LB",2.89,"Grocery"
"04133102509","GOYA WH CARGAMANTO BEANS 1 LB",2.89,"Grocery"
"04133102510","GOYA BOLA ROJA 1 LB",3.29,"Grocery"
"04133102514","BLACK EYE PEAS 4 LB.",7.19,"Grocery"
"04133102515","PINK BEANS 4 LB",6.29,"Grocery"
"04133102516","LENTILS 4 LB",5.39,"Grocery"
"04133102517","CENTRAL AMERICAN RED BEANS 4LB",9.69,"Grocery"
"04133102518","CANARY BEANS 4 LB",9.59,"Grocery"
"04133102519","RED KIDNEY 4 LBS",7.89,"Grocery"
"04133102520","CHICK PEAS 4 LB",6.99,"Grocery"
"04133102521","SMALL RED BEANS  4 LB",5.89,"Grocery"
"04133102522","GOYA GIANT WHITE CORN  3 LB",7.69,"Grocery"
"04133102523","BLACK BEANS  4 LB",5.39,"Grocery"
"04133102524","ROMAN BEANS 4 LB",8.29,"Grocery"
"04133102525","YELLOW SPLIT PEAS",4.09,"Grocery"
"04133102526","PINTO BEANS  4 LB",5.39,"Grocery"
"04133102527","BLACK BEANS 10 LB",13.59,"Grocery"
"04133102528","PINTO BEANS 10 LB",13.59,"Grocery"
"04133102529","ROMAN BEANS 10 LB",19.99,"Grocery"
"04133112531","TENDER SWEET PEAS 15 OZ",1.19,"Grocery"
"04133102533","TENDER SWEET PEAS 8.50 OZ",.89,"Grocery"
"04133112535","FRENCH STYLE GRN BEANS 14.5 OZ",1.09,"Grocery"
"04133102536","FRENCH STYLE GREEN BEANS 8 OZ",.79,"Grocery"
"04133102537","CUT GREEN BEANS 8 OZ",.79,"Grocery"
"04133112539","CUT GREEN BEANS 24/14.5 OZ",1.09,"Grocery"
"04133102542","FABES DE ASTURIAS 12/17.8 OZ",12.49,"Grocery"
"04133102544","ROCK BEANS/FEIJAO PEDRA",1.59,"Grocery"
"04133112545","FIELD PEAS WITH SNAPS 15 OZ",1.09,"Grocery"
"04133102546","GOYA CANARY BEANS",4.39,"Grocery"
"04133102547","CENTRAL AMERICAN RED BEAN 24 O",3.59,"Grocery"
"04133102552","PEAS AND CARROTS 8.50 OZ",.89,"Grocery"
"04133112553","PEAS AND CARROTS 15 OZ",1.29,"Grocery"
"04133102555","WHOLE KERNEL CORN 8 OZ",.79,"Grocery"
"04133112556","WHOLE KERNEL CORN 15.25 OZ",.99,"Grocery"
"04133112565","MIXED VEGETABLES 14.9 OZ",1.09,"Grocery"
"04133102567","MIXED VEGETABLES 8.25 OZ",.79,"Grocery"
"04133112569","SLICED BEETS 15 OZ",1.09,"Grocery"
"04133112570","LOW SODIUM WHOLE KERNEL CORN",1.09,"Grocery"
"04133102571","SLICED BEETS 8.25 OZ",.79,"Grocery"
"04133112573","SLICED CARROTS 14.5 OZ",1.09,"Grocery"
"04133102577","WHOLE MUSHROOMS",1.59,"Grocery"
"04133102579","SLICED MUSHROOMS",1.59,"Grocery"
"04133112581","GREEN LIMA BEANS 15 OZ",1.39,"Grocery"
"04133102582","WHOLE MUSHROOMS",2.59,"Grocery"
"04133102584","SLICED MUSHROOMS",2.59,"Grocery"
"04133102587","GOYA WHITE ASPARAGUS 11.6 OZ",3.29,"Grocery"
"04133102588","LOW SODIUM SLICED BEETS",1.09,"Grocery"
"04133102589","GOYA GREEN ASPARAGUS 11.6 OZ",2.89,"Grocery"
"04133102590","LOW SODIUM MIXED VEGETABLES",1.09,"Grocery"
"04133102594","GALLO PINTO/CENT AMER STYLE",1.79,"Grocery"
"04133102595","CONGRI-STYL BLCK BEAN AND RICE",1.79,"Grocery"
"04133112596","WHITE HOMINY 15 OZ",1.69,"Grocery"
"04133112597","GOLDEN HOMINY 15 OZ",.99,"Grocery"
"04133102598","GOYA WHITE HOMINY 29 OZ",1.59,"Grocery"
"04133102599","GOYA WHITE HOMINY 108 OZ",4.19,"Grocery"
"04133102601","FANCY BLUE ROSE RICE 1 LB",1.49,"Grocery"
"04133102602","FANCY BLUE ROSE RICE 3 LB",3.29,"Grocery"
"04133102603","FANCY BLUE ROSE RICE 5 LB",5.39,"Grocery"
"04133102604","MAIZ CANCHA MONTANA",2.19,"Grocery"
"04133102605","FANCY BLUE ROSE RICE 10 LB",7.79,"Grocery"
"04133102606","GOYA 20 LB POLY BAG - MEDIUM G",13.59,"Grocery"
"04133102607","FANCY BLUE ROSE RICE 20 LB",13.59,"Grocery"
"04133102608","FANCY BLUE ROSE RICE 50 LB",36.39,"Grocery"
"04133102609","FANCY BLUE ROSE RICE 100 LB",71.09,"Grocery"
"04133102610","GOYA MEDIUM GRAIN GAYLORD",13.59,"Grocery"
"04133102611","LONG GRAIN ORGANIC BROWN RICE",5.29,"Grocery"
"04133102612","GOYA BROWN RICE 14/32 OZ",2.19,"Grocery"
"04133102613","GOYA BROWN RICE 16 OZ",1.09,"Grocery"
"04133102614","LONG GRAIN ORGANIC WHITE RICE",4.99,"Grocery"
"04133102616","GOYA BASMATI RICE 11 LB",17.49,"Grocery"
"04133102617","GOYA JASMINE RICE 20 LB",23.49,"Grocery"
"04133102618","JASMINE RICE  20 LB",23.49,"Grocery"
"04133102619","JASMINE RICE   10 LB",13.39,"Grocery"
"04133102620","JASMINE RICE  5 LB",6.99,"Grocery"
"04133102621","GOYA 5 LB. BROWN RICE",3.59,"Grocery"
