"Internal Reference","DESCRIPTION","PRICE","POS Category"
2073509386,"TURK HIL SWEET TEA",10.15,"Dairy"
2073509275,"TURK HIL ICED TEA",8.68,"Dairy"
2073509304,"TURK HIL GREEN TEA",8.68,"Dairy"
2073509286,"TURK HIL LEMONADE ",8.68,"Dairy"
2073509296,"TURK HIL LEMON TEA",8.68,"Dairy"
2073509412,"TURK HIL FRUIT PUNCH ",8.68,"Dairy"
2073509381,"TURK HIL ORNGEADE",8.68,"Dairy"
2073509643,"TURK HIL LEMONADE 18oz",4.72,"Dairy"
2073509657,"TURK HIL STR KIWI 18oz",4.72,"Dairy"
2073509655,"TURK HIL POMGRNTE LEMNDE 18oz",4.72,"Dairy"
2073509644,"TURK HIL FRUIT PUNCH 18oz",4.72,"Dairy"
2073509635,"TURK HIL DIET ICED TEA 18oz",4.72,"Dairy"
2073509634,"TURK HIL ICED TEA 18oz",4.72,"Dairy"
2073509639,"TURK HIL SWEET TEA 18oz",4.72,"Dairy"
2073509641,"TURK HIL GREEN TEA 18oz",4.72,"Dairy"
2073509637,"TURK HIL LEMONADE TEA 18oz",4.72,"Dairy"
2073509636,"TURK HIL ORANGE TEA 18oz",4.72,"Dairy"
2073509640,"TURK HIL RASP TEA 18oz",4.72,"Dairy"
2073509638,"TURK HIL PEACH TEA 18oz",4.72,"Dairy"
2073509642,"TURK HIL DIET GREN TEA 18oz",4.72,"Dairy"
4274315001,"SABOR COOL STR BEVERAGE",7.6,"Dairy"
4274315002,"SABOR COOL PEACH BEVERAGE",7.6,"Dairy"
4274315003,"SABOR COOL PINE BEVERAGE",7.6,"Dairy"
4274315004,"SABOR COOL NATURL BEVRGE",7.6,"Dairy"
4274315005,"SABOR COOL ORANGE BEVERG",7.6,"Dairy"
4274315006,"SABOR COOL APPLE BEVRGE",7.6,"Dairy"
4410010754,"BAILEYS CARMEL CREAMER",11.49,"Dairy"
4410010781,"BAILEYS TOFFE ALMOND CRM",11.49,"Dairy"
4410020752,"BAILEYS FR VAN CREAMER",11.49,"Dairy"
4410010753,"BAILEYS HAZELNUT CREAMER",11.49,"Dairy"
4410010755,"BAILEYS IRISH CREAM",11.49,"Dairy"
5000030262,"COF-MATE CREAMER ORIG",28.14,"Dairy"
5000033952,"COF-MATE FF CREAMER",28.14,"Dairy"
5000032275,"COF-MATE FRENCH VAN",36.31,"Dairy"
5000032290,"COF-MATE HAZELNUT",36.31,"Dairy"
5000012766,"COF-MATE FF FR VAN",36.31,"Dairy"
5000012734,"COF-MATE FF HAZELNUT",36.31,"Dairy"
5000051508,"COF-MATE AMARETTO",36.31,"Dairy"
5000011234,"COF-MATE VAN CARMEL",36.31,"Dairy"
5000084811,"COF-MATE SUGR FREE FR VAN",36.31,"Dairy"
5000084808,"COF-MATE SUGR FREE HAZELNUT",36.31,"Dairy"
5000032842,"COF-MATE FRENCH VAN",20.86,"Dairy"
5000056024,"COF-MATE HAZELNUT",20.86,"Dairy"
5000033982,"COF-MATE FF FRENCH VAN",20.86,"Dairy"
4127101787,"DUNKIN DNUTS ORIG CREAMR",16.42,"Dairy"
4127101761,"DUNKIN DNUTS FF CREMR",16.42,"Dairy"
4127101788,"DUNKIN DNUTS EXTRA CREMR ",16.42,"Dairy"
4127100970,"INT DEL PUMPKIN SPICE",15.5,"Dairy"
4127102488,"INT DEL IRISH CRM",15.5,"Dairy"
4127100956,"INT DEL WHT CHOC MOCHA",15.5,"Dairy"
4127102254,"INT DEL SF FF HAZELNUT",15.5,"Dairy"
4127101993,"INT DEL CINNABON ",15.5,"Dairy"
4127101997,"INT DEL ALMOND JOY",15.5,"Dairy"
4127100472,"INT DEL COLD STONE SWET CRM",15.5,"Dairy"
4127102502,"INT DEL HERSHY CHOC BAR",15.5,"Dairy"
4127100908,"INT DEL WHT CHOC RASP",15.5,"Dairy"
4127102564,"INT DEL FR VAN",30.99,"Dairy"
4127100955,"INT DEL CRML MACCHIATO",30.99,"Dairy"
4127102505,"INT DEL SF FR VAN",30.99,"Dairy"
4127102568,"INT DEL HAZELNUT",30.99,"Dairy"
4127102619,"INT DEL FF FR VAN",30.99,"Dairy"
4127100466,"INT DEL YORK PEPERMINT",10.74,"Dairy"
4127100467,"INT DEL COLD STONE SWET CRM",10.74,"Dairy"
4127100922,"INT DEL CARML MACCHIATO",10.74,"Dairy"
4127100924,"INT DEL WHT CHOC MOCHA",10.74,"Dairy"
4127102563,"INT DEL HAZELNUT",10.74,"Dairy"
4127102608,"INT DEL BUTTER PECAN",10.74,"Dairy"
4127101996,"INT DEL ALMOND JOY",10.74,"Dairy"
4127102562,"INT DEL FRENCH VANILLA",10.74,"Dairy"
4127102638,"INT DEL HERSHY CHOC CRML",10.74,"Dairy"
4127101966,"INT DEL AMARETTO",10.74,"Dairy"
4127101965,"INT DEL IRISH CRM",10.74,"Dairy"
4127101992,"INT DEL CINNABON",10.74,"Dairy"
4127102518,"INT DEL FF FRENCH VAN",10.74,"Dairy"
4127100945,"INT DEL SKINY CARML MACCHIATO",10.74,"Dairy"
5290900348,"CALIFIA ICED COFFE LATTE",22.23,"Dairy"
5290900349,"CALIFIA ICED COFFE ESPRESSO",22.23,"Dairy"
5290900350,"CALIFIA ICED COFFE MOCHA ",22.23,"Dairy"
5290900352,"CALIFIA ICED COFE SALT CARMEL",14.41,"Dairy"
5290900353,"CALIFIA ICED COFE ESPRESO",14.41,"Dairy"
5290900354,"CALIFIA ICED COFE COCOA NOIR",14.41,"Dairy"
4127100492,"INT DEL ICED COFFE VAN",17.6,"Dairy"
4127100495,"INT DEL ICED COFFE MOCHA ",17.6,"Dairy"
4127101827,"INT DEL COFFE CRML MACHIATO",17.6,"Dairy"
5385907068,"8th CONT SOY COMPLETE",13.7,"Dairy"
5385907066,"8th CONT SOY PLAIN",13.7,"Dairy"
5385907067,"8th CONT SOY VAN",13.7,"Dairy"
2529360092,"SILK SOY PLAIN TWIN PK",22.54,"Dairy"
2529360093,"SILK SOY VAN TWIN PK",22.54,"Dairy"
2529360039,"SILK SOY MILK PLAIN",18.18,"Dairy"
2529360027,"SILK SOY MILK VAN",18.18,"Dairy"
2529360031,"SILK SOY CHOC",18.18,"Dairy"
2529360023,"SILK SOY ORGNIC UNSWEET",18.18,"Dairy"
2529360056,"SILK SOY VERY VAN ",18.18,"Dairy"
2529360057,"SILK SOY PLUS OMEGA 3",18.18,"Dairy"
2529360101,"SILK LT PLAIN SOY MILK",18.18,"Dairy"
2529360102,"SILK LT VAN SOY MILK",18.18,"Dairy"
2529360106,"SILK LT CHOC SOY MILK",18.18,"Dairy"
2529360037,"SILK SOY MILK PLAIN ",18.7,"Dairy"
2529360025,"SILK SOY MILK VAN",18.7,"Dairy"
2529360029,"SILK SOY MILK CHOC",18.7,"Dairy"
