"Internal Reff","Name","Price","POS Category"
1112000708,"WOOLITE CARPET/UPHOLSTERY CLEANER            ",5.69,"Grocery"
1112018390,"FEBREZE CARPET POWDER LAVENDER               ",3.39,"Grocery"
1112019023,"WOOLITE PET STAIN/ODOR REMOVER               ",6.29,"Grocery"
1112020505,"WOOLITE STAIN/ODOR REMOVER                   ",6.29,"Grocery"
1112022088,"FEBREZE CARPET POWDER GAIN                   ",3.39,"Grocery"
1112410011,"SCOTT'S LIQ GOLD WOOD CLEANER                ",6.29,"Grocery"
1112430019,"SCOTT'S LIQ GOLD FLOOR RESTORE               ",12.19,"Grocery"
1113200040,"ALPO PRIME CUTS                              ",4.69,"Grocery"
1113202815,"ALPO PRIME CUT SLICED LAMB                   ",1.29,"Grocery"
1113210835,"ALPO CHOP HOUSE TOP SIRLOIN                  ",1.29,"Grocery"
1113210840,"ALPO CHOP HOUSE FILET MIGNON                 ",1.29,"Grocery"
1113210860,"ALPO CHOP HOUSE ROTIS CHKN ORIG              ",1.29,"Grocery"
1113211755,"ALPO CHOP HOUSE RIBEYE                       ",1.29,"Grocery"
1113211767,"ALPO CHOP HOUSE FILET MIGNON                 ",1.79,"Grocery"
1113212516,"ALPO PRIME CUTS BEEF/BCN/CHSE                ",1.29,"Grocery"
1113212518,"ALPO PRIME CUTS BEEF                         ",1.79,"Grocery"
1113212530,"ALPO PRIME CUTS BEEF STEW                    ",1.79,"Grocery"
1113212534,"ALPO PRIME CUT LONDON GRILL                  ",1.29,"Grocery"
1113212537,"ALPO PRIME CUTS LONDON GRILL                 ",1.79,"Grocery"
1113212543,"ALPO PRIME CUTS CHICKEN                      ",1.79,"Grocery"
1113212544,"ALPO PRIME CUTS CHICKEN                      ",1.29,"Grocery"
1113212547,"ALPO PRIME CUTS LAMB/RICE                    ",1.79,"Grocery"
1113212552,"ALPO PRIME CUTS BEEF/GRAVY                   ",1.29,"Grocery"
1113212561,"ALPO PRIME CUTS BEEF STEW                    ",1.29,"Grocery"
1113212665,"ALPO PRIME CUT SLICED RST BEEF               ",1.29,"Grocery"
1113213597,"ALPO CHOP HOUSE T-BONE STK/GRVY              ",1.29,"Grocery"
1113213599,"ALPO CHOP HOUSE GRAVY T-BONE                 ",1.79,"Grocery"
1113213601,"ALPO CHOP HOUSE ROTISERRIE CHKN              ",1.79,"Grocery"
1113213604,"ALPO CHOP HOUSE ROTIS CHKN GRVY              ",1.29,"Grocery"
1113213606,"ALPO CHOP HOUSE BEEF TENDERLOIN              ",1.29,"Grocery"
1113214219,"ALPO HIDDEN GOODNESS BEEF                    ",1.29,"Grocery"
1113214221,"ALPO HIDDEN GOODNESS BEEF VEG                ",1.79,"Grocery"
1113214223,"ALPO HIDDEN GOODNESS CHKN VEG                ",1.29,"Grocery"
1113214228,"ALPO HIDDEN GOODNESS LAMB VEG                ",1.29,"Grocery"
1113214544,"ALPO PRIME CUTS                              ",12.49,"Grocery"
1113215232,"ALPO VARIETY SNAPS BITES                     ",2.79,"Grocery"
